accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Nucleic Acid 	Host
AB000906.1	9650	Infectious flacherie virus genomic RNA, complete sequence	12742	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Infectious flacherie virus	unclassified Infectious flacherie virus subspecies/strain	unclassified Infectious flacherie virus strain	RNA	Insect
AB003289.1	8953	GB virus C gene for polyprotein, complete cds, isolate: CG01BD	54290	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus C	GB virus C	GB virus C	RNA	Human
AB003292.1	8930	GB virus C gene for polyprotein, complete cds, isolate: G05BD	54290	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus C	GB virus C	GB virus C	RNA	Human
AB005795.1	15384	Sendai virus genomic RNA, antisense, complete sequence	11191	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Respirovirus	Murine respirovirus	unclassified Murine respirovirus subspecies/strain	unclassified Murine respirovirus strain	RNA	Animal
AB006531.1	8797	Plautia stali intestine virus RNA for nonstructural polyprotein, capsid protein precursor, complete cds	64698	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Triatovirus	Plautia stali intestine virus	unclassified Plautia stali intestine virus subspecies/strain	unclassified Plautia stali intestine virus strain	RNA	Insect
AB008254.1	750	Human rotavirus 4 NSP4 gene, complete cds, strain: 88-104	35336	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G4	Rotavirus G4	RNA	Human
AB008298.1	2359	Human rotavirus 4 VP4 gene, complete cds, strain: 88-104	35336	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G4	Rotavirus G4	RNA	Human
AB008673.1	613	Human rotavirus C mRNA for NSP4, complete cds	10943	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	Human rotavirus C	Human rotavirus C	RNA	Human
AB009625.2	1042	Avian rotavirus PO-13 gene for NSP2, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13	RNA	Human
AB009626.2	1092	Avian rotavirus PO-13 gene for NSP3, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13	RNA	Human
